DateTime,Location,Transaction,Product,Amount
Jan-29-2017 01:53 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Jan-29-2017 01:50 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jan-28-2017 02:17 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Jan-28-2017 01:56 PM,Lonsdale Quay,Tap in at Lonsdale Quay,Stored Value,-2.1
Jan-28-2017 12:00 PM,Lonsdale Quay,Tap out at Lonsdale Quay,Stored Value,0
Jan-28-2017 11:43 AM,Waterfront Stn,Tap in at Waterfront Stn,Stored Value,-2.1
Jan-23-2017 04:04 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,1.05
Jan-23-2017 03:40 PM,Lonsdale Quay,Tap in at Lonsdale Quay,Stored Value,-4.2
Jan-23-2017 01:29 PM,Lonsdale Quay,Tap out at Lonsdale Quay,Stored Value,1.05
Jan-23-2017 01:01 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Jan-21-2017 09:34 AM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Jan-21-2017 09:30 AM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jan-21-2017 12:41 AM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Jan-21-2017 12:34 AM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-2.1
Jan-20-2017 07:31 PM,Olympic Village Stn,Tap out at Olympic Village Stn,Stored Value,0
Jan-20-2017 07:25 PM,Vancouver City Centre Stn,Tap in at Vancouver City Centre Stn,Stored Value,-2.1
Jan-19-2017 12:31 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,1.05
Jan-19-2017 12:12 PM,Lonsdale Quay,Tap in at Lonsdale Quay,Stored Value,-4.2
Jan-19-2017 10:14 AM,Lonsdale Quay,Tap out at Lonsdale Quay,Stored Value,1.05
Jan-19-2017 09:47 AM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Jan-18-2017 05:47 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,2.1
Jan-18-2017 05:40 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Jan-16-2017 07:27 PM,19-METROTOWN STN/STANLEY PARK,Transfer at Bus Stop 50233,Stored Value,0
Jan-16-2017 07:22 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Jan-16-2017 07:15 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jan-16-2017 03:51 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,1.05
Jan-16-2017 03:22 PM,Lonsdale Quay,Tap in at Lonsdale Quay,Stored Value,-4.2
Jan-16-2017 02:00 PM,Lonsdale Quay,Tap out at Lonsdale Quay,Stored Value,1.05
Jan-16-2017 01:34 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Jan-15-2017 11:54 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Jan-15-2017 11:45 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Jan-13-2017 11:56 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Jan-13-2017 11:48 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Jan-13-2017 06:12 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,2.1
Jan-13-2017 06:05 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Jan-12-2017 07:15 PM,Yaletown-Roundhouse Stn,Tap out at Yaletown-Roundhouse Stn,Stored Value,0
Jan-12-2017 07:12 PM,Vancouver City Centre Stn,Transfer at Vancouver City Centre Stn,Stored Value,0
Jan-12-2017 07:09 PM,Granville Stn,Tap out at Granville Stn,Stored Value,0
Jan-12-2017 07:01 PM,Main Street Stn,Transfer at Main Street Stn,Stored Value,0
Jan-12-2017 06:53 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Jan-12-2017 06:46 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jan-11-2017 12:24 AM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Jan-11-2017 12:16 AM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Jan-08-2017 08:06 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Jan-08-2017 07:58 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Jan-06-2017 03:55 PM,Nanaimo Stn,Tap out at Nanaimo Stn,Stored Value,2.1
Jan-06-2017 03:43 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Jan-04-2017 12:57 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,2.1
Jan-04-2017 12:49 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-4.2
Jan-02-2017 07:15 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Jan-02-2017 07:08 PM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-2.1
Jan-02-2017 11:49 AM,King Edward Stn,Tap out at King Edward Stn,Stored Value,2.1
Jan-02-2017 11:39 AM,Vancouver City Centre Stn,Tap in at Vancouver City Centre Stn,Stored Value,-4.2
Dec-30-2016 12:12 AM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Dec-30-2016 12:02 AM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-2.1
Dec-29-2016 06:49 PM,Olympic Village Stn,Tap out at Olympic Village Stn,Stored Value,0
Dec-29-2016 06:43 PM,Vancouver City Centre Stn,Tap in at Vancouver City Centre Stn,Stored Value,-2.1
Dec-28-2016 09:41 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Dec-28-2016 09:11 PM,YVR-Airport Stn,Tap in at YVR-Airport Stn,Stored Value,-7.1
Dec-21-2016 11:27 AM,YVR-Airport Stn,Tap out at YVR-Airport Stn,Stored Value,1.05
Dec-21-2016 10:57 AM,Vancouver City Centre Stn,Tap in at Vancouver City Centre Stn,Stored Value,-4.2
Dec-18-2016 08:08 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Dec-18-2016 08:05 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Dec-17-2016 12:52 AM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Dec-17-2016 12:45 AM,Olympic Village Stn,Tap in at Olympic Village Stn,Stored Value,-2.1
Dec-16-2016 08:14 PM,Olympic Village Stn,Tap out at Olympic Village Stn,Stored Value,0
Dec-16-2016 08:07 PM,Vancouver City Centre Stn,Tap in at Vancouver City Centre Stn,Stored Value,-2.1
Dec-13-2016 03:54 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,2.1
Dec-13-2016 03:47 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-4.2
Dec-11-2016 11:14 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Dec-11-2016 11:08 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Dec-08-2016 02:08 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,2.1
Dec-08-2016 01:51 PM,VCC-Clark Stn,Transfer at VCC-Clark Stn,Stored Value,-2.1
Dec-08-2016 12:48 PM,VCC-Clark Stn,Tap out at VCC-Clark Stn,Stored Value,2.1
Dec-08-2016 12:30 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Dec-05-2016 05:02 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,2.1
Dec-05-2016 04:55 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Dec-02-2016 04:01 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,2.1
Dec-02-2016 03:57 PM,Waterfront Stn,Tap in at Waterfront Stn,Stored Value,-4.2
Dec-01-2016 10:34 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,0
Dec-01-2016 10:22 PM,Broadway-City Hall Stn,Tap in at Broadway-City Hall Stn,Stored Value,-2.1
Nov-28-2016 05:01 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,2.1
Nov-28-2016 04:58 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-4.2
Nov-27-2016 10:48 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Nov-27-2016 10:40 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Nov-27-2016 07:32 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Nov-27-2016 07:24 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Nov-27-2016 12:43 AM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Nov-27-2016 12:32 AM,Commercial Drive Stn,Tap in at Commercial Drive Stn,Stored Value,-2.1
Nov-20-2016 11:03 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Nov-20-2016 10:55 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Nov-19-2016 06:58 PM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Nov-19-2016 06:55 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Nov-15-2016 11:39 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Nov-15-2016 11:31 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Nov-15-2016 08:13 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Nov-15-2016 08:07 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Nov-11-2016 12:13 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Nov-11-2016 12:09 PM,Stadium Stn,Tap in at Stadium Stn,Stored Value,-2.1
Nov-05-2016 09:32 AM,Waterfront Stn,Tap out at Waterfront Stn,Stored Value,0
Nov-05-2016 09:30 AM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
Nov-04-2016 04:41 PM,Vancouver City Centre Stn,Tap out at Vancouver City Centre Stn,Stored Value,2.1
Nov-04-2016 04:33 PM,Broadway-City Hall Stn,Tap in at Broadway-City Hall Stn,Stored Value,-4.2
Nov-02-2016 10:43 PM,Burrard Stn,Tap out at Burrard Stn,Stored Value,0
Nov-02-2016 10:35 PM,Main Street Stn,Tap in at Main Street Stn,Stored Value,-2.1
Nov-02-2016 07:37 PM,Main Street Stn,Tap out at Main Street Stn,Stored Value,0
Nov-02-2016 07:30 PM,Burrard Stn,Tap in at Burrard Stn,Stored Value,-2.1
